id_unit,t,treat,y,lpop
8001,2003,0,8.46146904264388,5.8967609333053
8001,2004,0,8.33686963728496,5.8967609333053
8001,2005,0,8.34021732094704,5.8967609333053
8001,2006,0,8.37816098272068,5.8967609333053
8001,2007,1,8.48735234940522,5.8967609333053
8019,2003,0,4.99721227376411,2.23237719795055
8019,2004,0,5.08140436498446,2.23237719795055
8019,2005,0,4.78749174278205,2.23237719795055
8019,2006,0,4.99043258677874,2.23237719795055
8019,2007,1,5.03695260241363,2.23237719795055
8023,2003,0,2.19722457733622,1.29828248379668
8023,2004,0,2.30258509299405,1.29828248379668
8023,2005,0,2.77258872223978,1.29828248379668
8023,2006,0,1.94591014905531,1.29828248379668
8023,2007,1,2.99573227355399,1.29828248379668
8029,2003,0,5.88332238848828,3.32625829499766
8029,2004,0,5.78996017089725,3.32625829499766
8029,2005,0,5.85793315448346,3.32625829499766
8029,2006,0,5.99893656194668,3.32625829499766
8029,2007,1,6.10479323241498,3.32625829499766
8041,2003,0,8.96865090337487,6.24790553432335
8041,2004,0,8.9157008189569,6.24790553432335
8041,2005,0,8.90095787254506,6.24790553432335
8041,2006,0,8.90272766403552,6.24790553432335
8041,2007,1,8.88100262425557,6.24790553432335
8063,2003,0,4.9416424226093,2.08081559723298
8063,2004,0,4.86753445045558,2.08081559723298
8063,2005,0,4.66343909411207,2.08081559723298
8063,2006,0,4.81218435537242,2.08081559723298
8063,2007,1,4.91998092582813,2.08081559723298
8075,2003,0,5.6970934865054,3.02061998906177
8075,2004,0,5.63121178182137,3.02061998906177
8075,2005,0,5.72031177660741,3.02061998906177
8075,2006,0,5.79605775076537,3.02061998906177
8075,2007,1,5.56068163101553,3.02061998906177
8103,2003,0,4.45434729625351,1.78942340943051
8103,2004,0,4.58496747867057,1.78942340943051
8103,2005,0,4.75359019110636,1.78942340943051
8103,2006,0,4.90527477843843,1.78942340943051
8103,2007,1,4.71849887129509,1.78942340943051
8117,2003,0,6.37842618365159,3.15904089116601
8117,2004,0,6.27476202124194,3.15904089116601
8117,2005,0,6.2841341610708,3.15904089116601
8117,2006,0,6.3818160174061,3.15904089116601
8117,2007,1,6.43133108193348,3.15904089116601
8123,2003,0,7.7553388128465,5.19814337757751
8123,2004,0,7.68799716639302,5.19814337757751
8123,2005,0,7.75405263903576,5.19814337757751
8123,2006,0,7.78945456608667,5.19814337757751
8123,2007,1,7.80302664363222,5.19814337757751
12007,2003,0,5.50125821054473,3.26147543848702
12007,2004,0,5.59471137960184,3.26147543848702
12007,2005,0,5.24702407216049,3.26147543848702
12007,2006,1,5.43372200355424,3.26147543848702
12007,2007,1,5.44241771052179,3.26147543848702
12019,2003,0,7.77275271646874,4.94743987059911
12019,2004,0,7.81116338502528,4.94743987059911
12019,2005,0,7.80139132029149,4.94743987059911
12019,2006,1,7.86326672400957,4.94743987059911
12019,2007,1,7.87016594646984,4.94743987059911
12023,2003,0,6.99117688712121,4.03447070018167
12023,2004,0,6.53813982376767,4.03447070018167
12023,2005,0,6.59030104819669,4.03447070018167
12023,2006,1,6.5510803350434,4.03447070018167
12023,2007,1,6.71780469502369,4.03447070018167
12029,2003,0,3.85014760171006,2.62662320240648
12029,2004,0,4.07753744390572,2.62662320240648
12029,2005,0,4.35670882668959,2.62662320240648
12029,2006,1,4.31748811353631,2.62662320240648
12029,2007,1,4.33073334028633,2.62662320240648
12051,2003,0,6.42648845745769,3.58933532377755
12051,2004,0,6.42324696353352,3.58933532377755
12051,2005,0,6.37331978957701,3.58933532377755
12051,2006,1,6.4118182677099,3.58933532377755
12051,2007,1,6.37331978957701,3.58933532377755
12071,2003,0,8.75872660784204,6.08879087493748
12071,2004,0,8.79845469606509,6.08879087493748
12071,2005,0,8.99118884193151,6.08879087493748
12071,2006,1,9.1516513756275,6.08879087493748
12071,2007,1,9.06843112579349,6.08879087493748
12087,2003,0,6.72383244082121,4.37687589234631
12087,2004,0,6.79234442747081,4.37687589234631
12087,2005,0,6.75809450442773,4.37687589234631
12087,2006,1,6.74641212857337,4.37687589234631
12087,2007,1,6.74758652682932,4.37687589234631
12093,2003,0,5.72358510195238,3.58101580823799
12093,2004,0,6.01126717440416,3.58101580823799
12093,2005,0,6.10255859461357,3.58101580823799
12093,2006,1,6.0913098820777,3.58101580823799
12093,2007,1,6.14418563412565,3.58101580823799
12097,2003,0,7.59085212368858,5.15035665593789
12097,2004,0,7.59387784460512,5.15035665593789
12097,2005,0,7.76556908109732,5.15035665593789
12097,2006,1,7.87321705486274,5.15035665593789
